enterprise,num_id,date,ret,price,open,close,high,low,mktret,event_date1,event_date2,event_date3,id,t1,t2,date_new,event_window,event_estimate,N,predict_return,AR,CAR,car_date,ar_sd,test,car_t
泰山石油,000554.SZ,2021/8/2,0,4.31,3464.29,3385.69,3464.29,3367.64,0.0197,2022/2/24,2022/5/5,2022/5/11,54,-5,5,-135,0,1,80,,,0.119032055,,0.042489707,0.313209683,
中海油服,601808.SH,2021/8/2,0,12.32,3464.29,3385.69,3464.29,3367.64,0.0197,2022/2/24,2022/5/5,2022/5/11,13,-5,5,-135,0,1,80,,,0.089819521,,0.044110753,0.227657139,
山煤国际,600546.SH,2021/8/2,0,7.36,3464.29,3385.69,3464.29,3367.64,0.0197,2022/2/24,2022/5/5,2022/5/11,36,-5,5,-135,0,1,80,,,0.101993345,,0.040140364,0.284083188,
首华燃气,300483.SZ,2021/8/2,0,13.3,3464.29,3385.69,3464.29,3367.64,0.0197,2022/2/24,2022/5/5,2022/5/11,80,-5,5,-135,0,1,80,,,0.274532914,,0.075345702,0.407371789,
冀中能源,000937.SZ,2021/8/2,0,3.93,3464.29,3385.69,3464.29,3367.64,0.0197,2022/2/24,2022/5/5,2022/5/11,21,-5,5,-135,0,1,80,,,0.107408248,,0.031379946,0.382684141,
杰瑞股份,002353.SZ,2021/8/2,0,38.36,3464.29,3385.69,3464.29,3367.64,0.0197,2022/2/24,2022/5/5,2022/5/11,52,-5,5,-135,0,1,80,,,0.054905362,,0.034754433,0.176628008,
恒通股份,603223.SH,2021/8/2,0,31.6,3464.29,3385.69,3464.29,3367.64,0.0197,2022/2/24,2022/5/5,2022/5/11,46,-5,5,-135,0,1,80,,,-0.023347721,,0.011699444,-0.223117828,
中国神华,601088.SH,2021/8/2,0,17.24,3464.29,3385.69,3464.29,3367.64,0.0197,2022/2/24,2022/5/5,2022/5/11,10,-5,5,-135,0,1,80,,,0.034213819,,0.028579621,0.133844361,
恒基达鑫,002492.SZ,2021/8/2,0,6.11,3464.29,3385.69,3464.29,3367.64,0.0197,2022/2/24,2022/5/5,2022/5/11,43,-5,5,-135,0,1,80,,,0.108083658,,0.030505929,0.396123648,
安彩高科,600207.SH,2021/8/2,0,8.46,3464.29,3385.69,3464.29,3367.64,0.0197,2022/2/24,2022/5/5,2022/5/11,31,-5,5,-135,0,1,80,,,0.056083232,,0.005763412,1.087948561,
安泰集团,600408.SH,2021/8/2,0,3.37,3464.29,3385.69,3464.29,3367.64,0.0197,2022/2/24,2022/5/5,2022/5/11,32,-5,5,-135,0,1,80,,,-0.018424729,,0.014477254,-0.142288536,
上海能源,600508.SH,2021/8/2,0,9.85,3464.29,3385.69,3464.29,3367.64,0.0197,2022/2/24,2022/5/5,2022/5/11,6,-5,5,-135,0,1,80,,,0.095409729,,0.017374963,0.613936961,
中国石油,601857.SH,2021/8/2,0,4.67,3464.29,3385.69,3464.29,3367.64,0.0197,2022/2/24,2022/5/5,2022/5/11,9,-5,5,-135,0,1,80,,,0.030960135,,0.032487594,0.106546775,
靖远煤电,000552.SZ,2021/8/2,0,2.79,3464.29,3385.69,3464.29,3367.64,0.0197,2022/2/24,2022/5/5,2022/5/11,79,-5,5,-135,0,1,80,,,0.053875264,,0.016615564,0.362517804,
昊华能源,601101.SH,2021/8/2,0,5.84,3464.29,3385.69,3464.29,3367.64,0.0197,2022/2/24,2022/5/5,2022/5/11,50,-5,5,-135,0,1,80,,,0.155507699,,0.03902673,0.445496947,
潜能恒信,300191.SZ,2021/8/2,0,20.21,3464.29,3385.69,3464.29,3367.64,0.0197,2022/2/24,2022/5/5,2022/5/11,59,-5,5,-135,0,1,80,,,0.137677088,,0.054186091,0.28407228,
淮北矿业,600985.SH,2021/8/2,0,11.2,3464.29,3385.69,3464.29,3367.64,0.0197,2022/2/24,2022/5/5,2022/5/11,58,-5,5,-135,0,1,80,,,0.103782453,,0.031999566,0.3626059,
皖天然气,603689.SH,2021/8/2,0,9.3,3464.29,3385.69,3464.29,3367.64,0.0197,2022/2/24,2022/5/5,2022/5/11,62,-5,5,-135,0,1,80,,,0.040316831,,0.017138708,0.263004571,
辽宁能源,600758.SH,2021/8/2,0,3.24,3464.29,3385.69,3464.29,3367.64,0.0197,2022/2/24,2022/5/5,2022/5/11,71,-5,5,-135,0,1,80,,,0.059368454,,0.017767988,0.373570442,
陕西煤业,601225.SH,2021/8/2,0,10.82,3464.29,3385.69,3464.29,3367.64,0.0197,2022/2/24,2022/5/5,2022/5/11,77,-5,5,-135,0,1,80,,,0.051969834,,0.025648458,0.226540089,
石化机械,000852.SZ,2021/8/2,0,4.44,3464.29,3385.69,3464.29,3367.64,0.0197,2022/2/24,2022/5/5,2022/5/11,64,-5,5,-135,0,1,80,,,0.06213785,,0.036756601,0.18900612,
安源煤业,600397.SH,2021/8/2,0,2.69,3464.29,3385.69,3464.29,3367.64,0.0197,2022/2/24,2022/5/5,2022/5/11,33,-5,5,-135,0,1,80,,,0.079093032,,0.035937775,0.24606058,
晋控煤业,601001.SH,2021/8/2,0,7.56,3464.29,3385.69,3464.29,3367.64,0.0197,2022/2/24,2022/5/5,2022/5/11,51,-5,5,-135,0,1,80,,,0.062281791,,0.045479041,0.153110445,
