enterprise,num_id,date,ret,price,open,close,high,low,mktret,event_date1,event_date2,event_date3,id,t1,t2,date_new,event_window,event_estimate,N,predict_return,AR,CAR,car_date
*ST未来,600532.SH,2021/8/2,0,16.19,3464.29,3385.69,3464.29,3367.64,0.0197,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-141,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/8/3,0.018787879,16.5,3447.99,3446.78,3470.66,3435.46,-0.0047,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-140,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/8/4,0.003021148,16.55,3477.22,3442.94,3477.6,3440.78,0.0085,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-139,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/8/5,0.020710059,16.9,3466.55,3461.72,3486.16,3449.39,-0.0031,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-138,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/8/6,0.005297234,16.99,3458.23,3465.48,3466.39,3436.93,-0.0024,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-137,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/8/9,0.004686585,17.07,3494.63,3441.75,3502.84,3438.7,0.0105,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-136,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/8/10,-0.019104478,16.75,3529.93,3488.66,3529.93,3477.06,0.0101,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-135,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/8/11,-0.009036145,16.6,3532.62,3527.11,3544.09,3524.04,0.0008,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-134,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/8/12,-0.024691358,16.2,3524.74,3522.72,3538.4,3513.45,-0.0022,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-133,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/8/13,-0.02661597,15.78,3516.3,3514.47,3540.08,3500.8,-0.0024,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-132,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/8/16,0.019266625,16.09,3517.34,3514.34,3537.85,3510.9,0.0003,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-131,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/8/17,0.054085832,17.01,3446.98,3512.11,3531.72,3438.12,-0.02,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-130,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/8/18,0.036806342,17.66,3485.29,3442.35,3487.44,3437.69,0.0111,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-129,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/8/19,0.02967033,18.2,3465.55,3475.3,3480.46,3446.01,-0.0057,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-128,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/8/20,-0.024198087,17.77,3427.33,3442.51,3453.15,3394.97,-0.011,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-127,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/8/23,0.003923767,17.84,3477.13,3436.8,3481.25,3436.67,0.0145,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-126,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/8/24,-0.013636364,17.6,3514.47,3482.27,3522.7,3481.14,0.0107,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-125,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/8/25,0.017857143,17.92,3540.38,3517.92,3540.39,3510.07,0.0074,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-124,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/8/26,-0.009577465,17.75,3501.66,3537.31,3537.32,3499.45,-0.0109,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-123,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/8/27,-0.020114943,17.4,3522.16,3494.42,3530.19,3493.38,0.0059,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-122,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/8/30,0.01971831,17.75,3528.15,3535.07,3539.49,3512.99,0.0017,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-121,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/8/31,0.011142061,17.95,3543.94,3519.02,3543.94,3496.39,0.0045,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-120,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/9/1,-0.019307212,17.61,3567.1,3543.87,3582.32,3514.67,0.0065,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-119,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/9/2,-0.009747706,17.44,3597.04,3559.9,3597.37,3557.68,0.0084,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-118,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/9/3,-0.017502917,17.14,3581.73,3602.74,3613.95,3569.4,-0.0043,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-117,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/9/6,0.014376078,17.39,3621.86,3580.14,3626.29,3580.14,0.0112,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-116,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/9/7,0.000574713,17.4,3676.59,3621.71,3681.93,3615.14,0.0151,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-115,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/9/8,-0.000575043,17.39,3675.19,3673.4,3695.32,3661,-0.0004,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-114,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/9/9,0.004579279,17.47,3693.13,3666.82,3693.45,3662.16,0.0049,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-113,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/9/10,0.017435321,17.78,3703.11,3691.19,3722.87,3681.64,0.0027,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-112,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/9/13,-0.033120279,17.21,3715.37,3699.25,3716.83,3692.82,0.0033,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-111,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/9/14,0.090861067,18.93,3662.6,3709.63,3723.85,3655.63,-0.0142,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-110,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/9/15,0.019170984,19.3,3656.22,3651.16,3677.53,3638.32,-0.0017,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-109,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/9/16,0.000517866,19.31,3607.09,3664.84,3677.92,3606.73,-0.0134,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-108,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/9/17,-0.023317435,18.87,3613.97,3595.27,3620.96,3569.27,0.0019,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-107,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/9/22,0.002642706,18.92,3628.49,3563.21,3629.45,3560.5,0.004,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-106,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/9/23,0.001583113,18.95,3642.22,3651.27,3670.95,3632.28,0.0038,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-105,0,1,80,,,-0.042036582,
