id,date,CAR,
1,3/4/2022,-0.0377725,-3.199339
2,3/4/2022,0.0304318,1.803437
3,3/4/2022,-0.0489198,-1.207477
4,3/4/2022,-0.0769732,-5.324213
5,3/4/2022,-0.0650812,-5.498163
6,3/4/2022,0.0642783,6.079224
7,3/4/2022,-0.1243584,-6.14559
8,3/4/2022,-0.0448405,-7.872007
9,3/4/2022,-0.0478075,-2.935188
10,3/4/2022,0.0522351,2.357413
11,3/4/2022,-0.1340725,-3.395063
12,3/4/2022,-0.0348204,-1.845129
13,3/4/2022,-0.096816,-4.359937
14,3/4/2022,0.1025016,4.935375
15,3/4/2022,0.1656764,3.490115
16,3/4/2022,0.0819471,3.70469
17,3/4/2022,0.0321421,0.476153
18,3/4/2022,-0.0287189,-1.510667
19,3/4/2022,0.0491241,1.439455
20,3/4/2022,0.1376423,6.22097
21,3/4/2022,0.0900593,4.481956
22,3/4/2022,0.2903066,3.931285
23,3/4/2022,0.0330871,1.084521
24,3/4/2022,0.0379138,2.433014
25,3/4/2022,-0.0861163,-3.657101
26,3/4/2022,-0.0374365,-1.049132
27,3/4/2022,-0.130706,-5.854627
28,3/4/2022,-0.0239291,-0.905982
29,3/4/2022,0.0606733,3.792487
30,3/4/2022,-0.1928898,-3.654479
31,3/4/2022,0.0793884,8.942857
32,3/4/2022,-0.028666,-3.612726
33,3/4/2022,0.0443079,2.097423
34,3/4/2022,0.0352252,2.697703
35,3/4/2022,-0.0458952,-1.477251
36,3/4/2022,0.1661523,4.548989
37,3/4/2022,0.0604884,2.598217
38,3/4/2022,0.1044375,3.336267
39,3/4/2022,0.1634484,4.391548
40,3/4/2022,0.0446855,2.198308
41,3/4/2022,-0.1371879,-6.472417
42,3/4/2022,0.1078927,5.576395
43,3/4/2022,0.003346,0.09902
44,3/4/2022,-0.0227412,-0.392675
45,3/4/2022,0.0945895,5.507101
46,3/4/2022,-0.0174418,-1.823039
47,3/4/2022,-0.0689465,-3.103149
48,3/4/2022,0.0559113,1.268042
49,3/4/2022,0.1256781,5.760878
50,3/4/2022,0.2037116,7.194505
51,3/4/2022,0.0028931,0.083563
52,3/4/2022,0.0867144,3.045264
53,3/4/2022,0.0120686,1.469316
54,3/4/2022,-0.1489871,-7.08545
55,3/4/2022,-0.0515956,-5.164413
56,3/4/2022,-0.0651087,-5.220608
57,3/4/2022,-0.2308777,-5.536404
58,3/4/2022,0.0821284,3.337336
59,3/4/2022,-0.1120024,-3.213878
60,3/4/2022,0.2481219,9.144298
61,3/4/2022,0.0083769,0.36988
62,3/4/2022,-0.0469186,-10.05314
63,3/4/2022,0.0589482,2.273184
64,3/4/2022,-0.0755376,-3.171613
65,3/4/2022,-0.0473138,-3.818738
66,3/4/2022,-0.0056182,-0.264731
67,3/4/2022,-0.0470751,-2.884723
68,3/4/2022,-0.1762648,-6.536564
69,3/4/2022,-0.1042044,-2.3357
70,3/4/2022,-0.1125886,-1.980605
71,3/4/2022,0.0939736,6.730458
72,3/4/2022,0.1853071,6.153253
73,3/4/2022,0.0656299,0.806301
74,3/4/2022,0.0328435,2.253808
75,3/4/2022,0.0339677,2.755421
76,3/4/2022,-0.0162022,-1.501542
77,3/4/2022,0.0151173,0.616291
78,3/4/2022,0.052486,3.590685
79,3/4/2022,0.0498569,2.779467
80,3/4/2022,-0.1236427,-2.833132
,,0,
