enterprise,num_id,date,ret,price,open,close,high,low,mktret,event_date1,event_date2,event_date3,id,t1,t2,date_new,event_window,event_estimate,N,predict_return,AR,CAR,car_date
BASHNEFT,BANE_T2.MCX,2021/8/2,0,1400,1635.9,1632.24,1644.27,1630.27,0.0062,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-150,0,1,17,,,-0.130989999,
BASHNEFT,BANE_T2.MCX,2021/8/3,-0.009372747,1387,1637.7,1632.84,1641.88,1624.14,0.0011,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-149,0,1,17,,,-0.130989999,
BASHNEFT,BANE_T2.MCX,2021/8/4,0.006091007,1395.5,1640.3,1648.2,1651.97,1636.97,0.0016,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-148,0,1,17,,,-0.130989999,
BASHNEFT,BANE_T2.MCX,2021/8/5,-0.026102941,1360,1653.31,1636.3,1653.84,1635.07,0.0079,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-147,0,1,17,,,-0.130989999,
BASHNEFT,BANE_T2.MCX,2021/8/6,-0.003690037,1355,1632.87,1655.13,1655.52,1629.81,-0.0124,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-146,0,1,17,,,-0.130989999,
BASHNEFT,BANE_T2.MCX,2021/8/9,-0.014221557,1336,1641.07,1625.53,1647.88,1623.35,0.005,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-145,0,1,17,,,-0.130989999,
BASHNEFT,BANE_T2.MCX,2021/8/10,0.005212211,1343,1646.47,1647.57,1653.89,1640.21,0.0033,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-144,0,1,17,,,-0.130989999,
BASHNEFT,BANE_T2.MCX,2021/8/11,0.0125,1360,1656.2,1651.3,1659.87,1638.97,0.0059,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-143,0,1,17,,,-0.130989999,
BASHNEFT,BANE_T2.MCX,2021/8/12,-0.002210759,1357,1665.56,1661.65,1670.41,1659.57,0.0057,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-142,0,1,17,,,-0.130989999,
BASHNEFT,BANE_T2.MCX,2021/8/13,0.028632785,1397,1666.44,1662.83,1670.6,1660.41,0.0005,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-141,0,1,17,,,-0.130989999,
BASHNEFT,BANE_T2.MCX,2021/8/16,0.012720848,1415,1674.09,1657.91,1674.09,1654.47,0.0046,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-140,0,1,17,,,-0.130989999,
BASHNEFT,BANE_T2.MCX,2021/8/17,0.068772623,1519.5,1689.76,1669.15,1690.23,1669.02,0.0094,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-139,0,1,17,,,-0.130989999,
BASHNEFT,BANE_T2.MCX,2021/8/18,0.000657678,1520.5,1675.21,1694.66,1695.41,1672.52,-0.0086,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-138,0,1,17,,,-0.130989999,
