id,date,CAR,
1,3/29/2022,-0.0973799,-2.646706
2,3/29/2022,-0.2471815,-3.955403
3,3/29/2022,-0.1893195,-4.311277
4,3/29/2022,-0.2034861,-4.064351
5,3/29/2022,-0.0407036,-0.997349
6,3/29/2022,-0.2518387,-3.70099
7,3/29/2022,-0.4770812,-5.132724
8,3/29/2022,-0.1452049,-1.908976
9,3/29/2022,-0.3595659,-4.424307
10,3/29/2022,-0.1411426,-3.292539
11,3/29/2022,-0.1127553,-1.249684
12,3/29/2022,-0.024572,-0.651239
13,3/29/2022,-0.1684003,-2.949817
14,3/29/2022,-0.2942261,-3.399608
15,3/29/2022,-0.1703846,-3.126096
16,3/29/2022,-0.1148021,-1.949231
17,3/29/2022,-0.185458,-2.877844
