id,date,CAR,
1,2/23/2022,-0.3785938,-11.94843
2,2/23/2022,-0.5000658,-8.404958
3,2/23/2022,-0.3256989,-7.404854
4,2/23/2022,-0.2629699,-5.402983
5,2/23/2022,-0.1815468,-4.08262
6,2/23/2022,-0.5796404,-9.076985
7,2/23/2022,-0.5419763,-5.899001
8,2/23/2022,-0.5776117,-7.465388
9,2/23/2022,-0.8282751,-11.21187
10,2/23/2022,-0.3217692,-7.519315
11,2/23/2022,-0.4655894,-5.799121
12,2/23/2022,-0.0965953,-2.334883
13,2/23/2022,-0.2666934,-4.599115
14,2/23/2022,-0.4991813,-5.774367
15,2/23/2022,-0.3868351,-8.054057
16,2/23/2022,-0.4251147,-7.393895
17,2/23/2022,-0.4623059,-7.639321
