date,open,close,high,low,mktret
2022/8/31,"6,986.80","6,998.30","6,998.30","6,937.50",-0.16%
2022/8/30,"6,998.30","6,965.50","7,020.00","6,965.50",0.47%
2022/8/29,"6,965.50","7,104.10","7,104.10","6,943.20",-1.95%
2022/8/26,"7,104.10","7,048.10","7,130.00","7,048.10",0.79%
2022/8/25,"7,048.10","6,998.10","7,057.70","6,992.00",0.71%
2022/8/24,"6,998.10","6,961.80","7,013.70","6,961.80",0.52%
2022/8/23,"6,961.80","7,046.90","7,049.50","6,961.80",-1.21%
2022/8/22,"7,046.90","7,114.50","7,114.50","7,031.70",-0.95%
2022/8/19,"7,114.50","7,112.80","7,137.50","7,107.90",0.02%
2022/8/18,"7,112.80","7,127.70","7,127.70","7,081.00",-0.21%
2022/8/17,"7,127.70","7,105.40","7,130.50","7,082.90",0.31%
2022/8/16,"7,105.40","7,064.30","7,131.60","7,064.30",0.58%
2022/8/15,"7,064.30","7,032.50","7,076.00","7,032.50",0.45%
2022/8/12,"7,032.50","7,071.00","7,071.00","7,012.10",-0.54%
2022/8/11,"7,071.00","6,992.70","7,077.10","6,992.70",1.12%
2022/8/10,"6,992.70","7,029.80","7,029.80","6,985.70",-0.53%
2022/8/9,"7,029.80","7,020.60","7,034.30","7,012.80",0.13%
2022/8/8,"7,020.60","7,015.60","7,025.90","6,985.80",0.07%
2022/8/5,"7,015.60","6,974.90","7,016.60","6,969.60",0.58%
2022/8/4,"6,974.90","6,975.90","7,021.10","6,974.90",-0.01%
2022/8/3,"6,975.90","6,998.10","6,998.10","6,918.20",-0.32%
2022/8/2,"6,998.10","6,993.00","7,003.80","6,944.90",0.07%
2022/8/1,"6,993.00","6,945.20","6,994.10","6,945.20",0.69%
2022/7/29,"6,945.20","6,889.70","6,973.60","6,889.70",0.81%
2022/7/28,"6,889.70","6,823.20","6,892.10","6,823.20",0.97%
2022/7/27,"6,823.20","6,807.30","6,833.40","6,778.90",0.23%
2022/7/26,"6,807.30","6,789.90","6,815.00","6,783.20",0.26%
2022/7/25,"6,789.90","6,791.50","6,803.00","6,775.70",-0.02%
2022/7/22,"6,791.50","6,794.30","6,816.10","6,758.50",-0.04%
2022/7/21,"6,794.30","6,759.20","6,794.30","6,743.90",0.52%
2022/7/20,"6,759.20","6,649.60","6,775.40","6,649.60",1.65%
2022/7/19,"6,649.60","6,687.10","6,696.10","6,639.60",-0.56%
2022/7/18,"6,687.10","6,605.60","6,687.10","6,605.60",1.23%
2022/7/15,"6,605.60","6,650.60","6,650.60","6,537.20",-0.68%
2022/7/14,"6,650.60","6,621.60","6,659.30","6,611.70",0.44%
2022/7/13,"6,621.60","6,606.30","6,621.60","6,584.10",0.23%
2022/7/12,"6,606.30","6,602.20","6,649.70","6,601.90",0.06%
2022/7/11,"6,602.20","6,678.00","6,678.00","6,602.20",-1.14%
2022/7/8,"6,678.00","6,648.00","6,715.00","6,648.00",0.45%
2022/7/7,"6,648.00","6,594.50","6,648.00","6,594.50",0.81%
2022/7/6,"6,594.50","6,629.30","6,651.60","6,587.90",-0.52%
2022/7/5,"6,629.30","6,612.60","6,657.00","6,596.80",0.25%
2022/7/4,"6,612.60","6,539.90","6,659.00","6,539.90",1.11%
2022/7/1,"6,539.90","6,568.10","6,623.90","6,539.90",-0.43%
2022/6/30,"6,568.10","6,700.20","6,700.20","6,568.10",-1.97%
2022/6/29,"6,700.20","6,763.60","6,763.60","6,666.40",-0.94%
2022/6/28,"6,763.60","6,706.00","6,763.60","6,706.00",0.86%
2022/6/27,"6,706.00","6,578.70","6,716.10","6,578.70",1.94%
2022/6/24,"6,578.70","6,528.40","6,585.10","6,501.60",0.77%
2022/6/23,"6,528.40","6,508.50","6,551.80","6,495.00",0.31%
2022/6/22,"6,508.50","6,523.80","6,557.80","6,493.20",-0.23%
2022/6/21,"6,523.80","6,433.40","6,537.70","6,433.40",1.41%
2022/6/20,"6,433.40","6,474.80","6,493.40","6,407.00",-0.64%
2022/6/17,"6,474.80","6,591.10","6,591.10","6,410.40",-1.76%
2022/6/16,"6,591.10","6,601.00","6,671.60","6,583.90",-0.15%
2022/6/15,"6,601.00","6,686.00","6,686.00","6,589.70",-1.27%
2022/6/14,"6,686.00","6,932.00","6,932.00","6,566.10",-3.55%
2022/6/10,"6,932.00","7,019.70","7,019.70","6,926.90",-1.25%
2022/6/9,"7,019.70","7,121.10","7,121.10","7,019.70",-1.42%
2022/6/8,"7,121.10","7,095.70","7,162.10","7,095.70",0.36%
2022/6/7,"7,095.70","7,206.30","7,209.00","7,082.20",-1.53%
2022/6/6,"7,206.30","7,238.80","7,238.80","7,195.20",-0.45%
2022/6/3,"7,238.80","7,175.90","7,254.60","7,175.90",0.88%
2022/6/2,"7,175.90","7,234.00","7,234.00","7,150.50",-0.80%
2022/6/1,"7,234.00","7,211.20","7,238.20","7,204.40",0.32%
2022/5/31,"7,211.20","7,286.60","7,288.40","7,211.20",-1.03%
2022/5/30,"7,286.60","7,182.70","7,286.60","7,182.70",1.45%
2022/5/27,"7,182.70","7,105.90","7,196.70","7,105.90",1.08%
2022/5/26,"7,105.90","7,155.20","7,181.40","7,105.90",-0.69%
2022/5/25,"7,155.20","7,218.60","7,218.60","7,134.60",0.37%
2022/5/24,"7,128.80","7,148.90","7,165.80","7,114.00",-0.28%
2022/5/23,"7,148.90","7,145.60","7,196.00","7,135.80",0.05%
2022/5/20,"7,145.60","7,064.50","7,154.60","7,064.50",1.15%
2022/5/19,"7,064.50","7,182.70","7,182.70","7,037.60",-1.65%
2022/5/18,"7,182.70","7,112.50","7,199.00","7,112.50",0.99%
2022/5/17,"7,112.50","7,093.00","7,129.50","7,093.00",0.27%
2022/5/16,"7,093.00","7,075.10","7,149.50","7,075.10",0.25%
2022/5/13,"7,075.10","6,941.00","7,075.10","6,941.00",1.93%
2022/5/12,"6,941.00","7,064.70","7,064.70","6,930.20",-1.75%
2022/5/11,"7,064.70","7,051.20","7,064.70","6,991.80",0.19%
2022/5/10,"7,051.20","7,120.70","7,120.70","6,939.50",-0.98%
2022/5/9,"7,120.70","7,205.60","7,205.60","7,092.30",-1.18%
2022/5/6,"7,205.60","7,364.70","7,364.70","7,161.40",-2.16%
2022/5/5,"7,364.70","7,304.70","7,369.10","7,304.70",0.82%
2022/5/4,"7,304.70","7,316.20","7,366.80","7,299.90",-0.16%
2022/5/3,"7,316.20","7,347.00","7,355.20","7,299.30",-0.42%
2022/5/2,"7,347.00","7,435.00","7,435.00","7,301.60",-1.18%
2022/4/29,"7,435.00","7,356.90","7,435.00","7,356.90",1.06%
2022/4/28,"7,356.90","7,261.20","7,356.90","7,261.20",1.32%
2022/4/27,"7,261.20","7,318.00","7,318.00","7,233.30",-0.78%
2022/4/26,"7,318.00","7,473.30","7,473.30","7,290.80",-2.08%
2022/4/22,"7,473.30","7,592.80","7,592.80","7,455.00",-1.57%
2022/4/21,"7,592.80","7,569.20","7,604.70","7,560.60",0.31%
2022/4/20,"7,569.20","7,565.20","7,624.80","7,564.10",0.05%
2022/4/19,"7,565.20","7,523.50","7,584.90","7,523.50",0.56%
2022/4/14,"7,523.40","7,479.00","7,529.20","7,479.00",0.59%
2022/4/13,"7,479.00","7,454.00","7,489.00","7,454.00",0.34%
2022/4/12,"7,454.00","7,485.20","7,485.20","7,430.80",-0.42%
2022/4/11,"7,485.20","7,478.00","7,524.90","7,471.30",0.10%
2022/4/8,"7,478.00","7,442.80","7,492.30","7,442.80",0.47%
2022/4/7,"7,442.80","7,490.10","7,490.10","7,437.60",-0.63%
2022/4/6,"7,490.10","7,527.90","7,527.90","7,437.50",-0.50%
2022/4/5,"7,527.90","7,513.70","7,573.40","7,509.30",0.19%
2022/4/4,"7,513.70","7,493.80","7,536.80","7,493.80",0.27%
2022/4/1,"7,493.80","7,499.60","7,514.00","7,476.70",-0.08%
2022/3/31,"7,499.60","7,514.50","7,556.60","7,499.60",-0.20%
2022/3/30,"7,514.50","7,464.30","7,533.10","7,464.30",0.67%
2022/3/29,"7,464.30","7,412.40","7,480.90","7,409.90",0.70%
2022/3/28,"7,412.40","7,406.20","7,446.70","7,406.20",0.08%
2022/3/25,"7,406.20","7,387.10","7,431.30","7,387.10",0.26%
2022/3/24,"7,387.10","7,377.90","7,399.40","7,356.20",0.12%
2022/3/23,"7,377.90","7,341.10","7,386.90","7,329.80",0.50%
2022/3/22,"7,341.10","7,278.50","7,377.30","7,278.50",0.86%
2022/3/21,"7,278.50","7,294.40","7,350.40","7,278.50",-0.22%
2022/3/18,"7,294.40","7,250.80","7,294.40","7,245.90",0.60%
2022/3/17,"7,250.80","7,175.20","7,296.80","7,175.20",1.05%
2022/3/16,"7,175.20","7,097.40","7,180.20","7,097.40",1.10%
2022/3/15,"7,097.40","7,149.40","7,149.40","7,080.70",-0.73%
2022/3/14,"7,149.40","7,063.60","7,149.40","7,063.60",1.21%
2022/3/11,"7,063.60","7,130.80","7,151.40","7,051.20",-0.94%
2022/3/10,"7,130.80","7,053.00","7,161.00","7,039.70",1.10%
2022/3/9,"7,053.00","6,980.30","7,072.00","6,968.90",1.04%
2022/3/8,"6,980.30","7,038.60","7,053.50","6,980.30",-0.83%
2022/3/7,"7,038.60","7,110.80","7,133.70","7,010.50",-1.02%
2022/3/4,"7,110.80","7,151.40","7,151.40","7,025.20",-0.57%
2022/3/3,"7,151.40","7,116.70","7,198.10","7,116.70",0.49%
2022/3/2,"7,116.70","7,096.50","7,121.50","7,041.90",0.28%
2022/3/1,"7,096.50","7,049.10","7,159.90","7,049.10",0.67%
2022/2/28,"7,049.10","6,997.80","7,049.60","6,979.40",0.73%
2022/2/25,"6,997.80","6,990.60","7,045.60","6,974.90",0.10%
2022/2/24,"6,990.60","7,205.70","7,205.70","6,959.30",-2.99%
2022/2/23,"7,205.70","7,161.30","7,205.70","7,145.40",0.62%
2022/2/22,"7,161.30","7,233.60","7,233.60","7,108.80",-1.00%
2022/2/21,"7,233.60","7,220.40","7,248.80","7,156.30",0.16%
2022/2/18,"7,221.70","7,296.20","7,296.20","7,201.90",-1.02%
2022/2/17,"7,296.20","7,284.90","7,356.80","7,282.30",0.16%
2022/2/16,"7,284.90","7,206.90","7,284.90","7,201.00",1.08%
2022/2/15,"7,206.90","7,243.90","7,251.40","7,198.00",-0.51%
2022/2/14,"7,243.90","7,217.30","7,263.60","7,181.70",0.37%
2022/2/11,"7,217.30","7,288.50","7,294.40","7,191.80",-0.98%
2022/2/10,"7,288.50","7,268.30","7,336.60","7,260.80",0.28%
2022/2/9,"7,268.30","7,186.70","7,268.30","7,183.00",1.14%
2022/2/8,"7,186.70","7,110.80","7,203.00","7,110.80",1.07%
2022/2/7,"7,110.80","7,120.20","7,128.30","7,046.50",-0.13%
2022/2/4,"7,120.20","7,078.00","7,120.20","7,045.90",0.60%
2022/2/3,"7,078.00","7,087.70","7,095.10","7,045.80",-0.14%
2022/2/2,"7,087.70","7,006.00","7,107.20","7,006.00",1.17%
2022/2/1,"7,006.00","6,971.60","7,043.60","6,945.70",0.49%
2022/1/31,"6,971.60","6,988.10","7,004.40","6,932.70",-0.24%
2022/1/28,"6,988.10","6,838.30","7,000.00","6,837.90",2.19%
2022/1/27,"6,838.30","6,961.60","7,042.80","6,758.20",-1.77%
2022/1/25,"6,961.60","7,139.50","7,139.50","6,920.70",-2.49%
2022/1/24,"7,139.50","7,173.70","7,173.70","7,086.80",-0.51%
2022/1/21,"7,175.80","7,342.40","7,342.40","7,153.30",-2.27%
2022/1/20,"7,342.40","7,332.50","7,354.60","7,298.50",0.14%
2022/1/19,"7,332.50","7,408.80","7,408.80","7,325.70",-1.03%
2022/1/18,"7,408.80","7,417.30","7,445.10","7,398.20",-0.11%
2022/1/17,"7,417.30","7,393.90","7,429.30","7,385.80",0.32%
2022/1/14,"7,393.90","7,474.40","7,474.40","7,386.80",-1.08%
2022/1/13,"7,474.40","7,438.90","7,487.30","7,438.90",0.48%
2022/1/12,"7,438.90","7,390.10","7,467.50","7,390.10",0.66%
2022/1/11,"7,390.10","7,447.10","7,447.10","7,376.80",-0.77%
2022/1/10,"7,447.10","7,453.30","7,460.20","7,409.90",-0.08%
2022/1/7,"7,453.30","7,358.30","7,484.60","7,358.30",1.29%
2022/1/6,"7,358.30","7,565.80","7,565.80","7,340.40",-2.74%
2022/1/5,"7,565.80","7,589.80","7,620.20","7,563.40",-0.32%
2022/1/4,"7,589.80","7,444.60","7,594.70","7,444.60",1.95%
2021/12/31,"7,444.60","7,513.40","7,515.30","7,444.60",-0.92%
2021/12/30,"7,513.40","7,509.80","7,520.60","7,499.50",0.05%
2021/12/29,"7,509.80","7,420.30","7,518.40","7,420.30",1.21%
2021/12/24,"7,420.30","7,387.60","7,435.90","7,387.60",0.44%
2021/12/23,"7,387.60","7,364.80","7,404.20","7,363.60",0.31%
2021/12/22,"7,364.80","7,355.00","7,374.50","7,333.00",0.13%
2021/12/21,"7,355.00","7,292.20","7,358.30","7,287.30",0.86%
2021/12/20,"7,292.20","7,304.00","7,304.00","7,257.80",-0.16%
2021/12/17,"7,304.00","7,295.70","7,350.30","7,295.70",0.11%
2021/12/16,"7,295.70","7,327.10","7,334.50","7,277.10",-0.43%
2021/12/15,"7,327.10","7,378.40","7,378.40","7,325.70",-0.70%
2021/12/14,"7,378.40","7,379.30","7,393.50","7,341.30",-0.01%
2021/12/13,"7,379.30","7,353.50","7,417.70","7,353.50",0.35%
2021/12/10,"7,353.50","7,384.50","7,384.50","7,336.70",-0.42%
2021/12/9,"7,384.50","7,405.40","7,418.30","7,377.70",-0.28%
2021/12/8,"7,405.40","7,313.90","7,443.40","7,313.90",1.25%
2021/12/7,"7,313.90","7,245.10","7,326.10","7,245.10",0.95%
2021/12/6,"7,245.10","7,241.20","7,257.90","7,207.80",0.05%
2021/12/3,"7,241.20","7,225.20","7,288.20","7,211.50",0.22%
2021/12/2,"7,225.20","7,235.90","7,239.70","7,168.90",-0.15%
2021/12/1,"7,235.90","7,256.00","7,262.30","7,183.40",-0.28%
2021/11/30,"7,256.00","7,239.80","7,332.60","7,239.80",0.22%
2021/11/29,"7,239.80","7,279.30","7,279.30","7,180.30",-0.54%
2021/11/26,"7,279.30","7,407.30","7,407.30","7,260.30",-1.73%
2021/11/25,"7,407.30","7,399.40","7,412.70","7,373.70",0.11%
2021/11/24,"7,399.40","7,410.60","7,425.00","7,381.80",-0.15%
2021/11/23,"7,410.60","7,353.10","7,416.60","7,353.10",0.78%
2021/11/22,"7,353.10","7,396.50","7,396.50","7,337.00",-0.59%
2021/11/19,"7,396.50","7,379.20","7,404.90","7,376.00",0.23%
2021/11/18,"7,379.20","7,369.90","7,398.20","7,343.80",0.13%
2021/11/17,"7,369.90","7,420.40","7,431.10","7,342.90",-0.68%
2021/11/16,"7,420.40","7,470.10","7,470.10","7,403.50",-0.67%
2021/11/15,"7,470.10","7,443.00","7,479.10","7,437.90",0.36%
2021/11/12,"7,443.00","7,381.90","7,465.80","7,381.90",0.83%
2021/11/11,"7,381.90","7,423.90","7,423.90","7,329.50",-0.57%
2021/11/10,"7,423.90","7,434.20","7,460.50","7,411.90",-0.14%
2021/11/9,"7,434.20","7,452.20","7,468.60","7,434.20",-0.24%
2021/11/8,"7,452.20","7,456.90","7,474.30","7,433.40",-0.06%
2021/11/5,"7,456.90","7,428.00","7,477.20","7,424.40",0.39%
2021/11/4,"7,428.00","7,392.70","7,428.00","7,392.70",0.48%
2021/11/3,"7,392.70","7,324.30","7,431.60","7,324.30",0.93%
2021/11/2,"7,324.30","7,370.80","7,395.90","7,311.60",-0.63%
2021/11/1,"7,370.80","7,323.70","7,388.30","7,323.70",0.64%
2021/10/29,"7,323.70","7,430.40","7,447.00","7,318.80",-1.44%
2021/10/28,"7,430.40","7,448.70","7,448.70","7,404.60",-0.25%
2021/10/27,"7,448.70","7,443.40","7,473.90","7,419.70",0.07%
2021/10/26,"7,443.40","7,441.00","7,471.30","7,439.20",0.03%
2021/10/25,"7,441.00","7,415.50","7,471.70","7,415.50",0.34%
2021/10/22,"7,415.50","7,415.40","7,431.40","7,391.30",0.00%
2021/10/21,"7,415.40","7,413.70","7,446.70","7,403.70",0.02%
2021/10/20,"7,413.70","7,374.90","7,449.50","7,374.90",0.53%
2021/10/19,"7,374.90","7,381.10","7,406.90","7,373.80",-0.08%
2021/10/18,"7,381.10","7,362.00","7,393.80","7,354.10",0.26%
2021/10/15,"7,362.00","7,311.70","7,373.20","7,311.70",0.69%
2021/10/14,"7,311.70","7,272.50","7,358.60","7,272.50",0.54%
2021/10/13,"7,272.50","7,280.70","7,294.00","7,256.30",-0.11%
2021/10/12,"7,280.70","7,299.80","7,330.40","7,260.40",-0.26%
2021/10/11,"7,299.80","7,320.10","7,320.10","7,250.00",-0.28%
2021/10/8,"7,320.10","7,256.70","7,322.00","7,256.70",0.87%
2021/10/7,"7,256.70","7,206.50","7,265.20","7,206.50",0.70%
2021/10/6,"7,206.50","7,248.40","7,279.40","7,183.50",-0.58%
