date,open,close,high,low,mktret
2022/8/31,"1,258.45","1,249.27","1,274.03","1,236.87",3.82%
2022/8/30,"1,212.10","1,199.26","1,212.18","1,192.69",1.18%
2022/8/29,"1,197.99","1,180.65","1,199.56","1,176.75",1.26%
2022/8/26,"1,183.12","1,177.95","1,191.60","1,171.21",0.03%
2022/8/25,"1,182.71","1,183.23","1,196.56","1,172.31",0.03%
2022/8/24,"1,182.39","1,190.64","1,192.81","1,178.32",-0.65%
2022/8/23,"1,190.16","1,173.76","1,192.22","1,166.92",1.39%
2022/8/22,"1,173.79","1,169.09","1,185.65","1,155.20",0.28%
2022/8/19,"1,170.57","1,163.94","1,182.13","1,153.08",0.71%
2022/8/18,"1,162.30","1,134.82","1,170.51","1,130.21",2.28%
2022/8/17,"1,136.40","1,144.94","1,154.08","1,130.73",-0.49%
2022/8/16,"1,142.05","1,117.77","1,146.40","1,109.54",2.62%
2022/8/15,"1,112.93","1,116.41","1,117.00","1,094.80",-0.30%
2022/8/12,"1,116.32","1,108.02","1,121.96","1,097.59",0.91%
2022/8/11,"1,106.29","1,120.18","1,130.55","1,103.84",-1.08%
2022/8/10,"1,118.40","1,120.27","1,124.13","1,109.65",0.19%
2022/8/9,"1,116.28","1,083.88","1,116.41","1,080.48",3.02%
2022/8/8,"1,083.52","1,095.40","1,107.79","1,083.52",1.05%
2022/8/5,"1,072.31","1,106.46","1,112.71","1,069.35",-2.94%
2022/8/4,"1,104.77","1,105.74","1,117.78","1,098.97",-0.11%
2022/8/3,"1,105.99","1,117.43","1,130.14","1,105.99",-0.91%
2022/8/2,"1,116.12","1,139.55","1,149.85","1,115.86",-1.99%
2022/8/1,"1,138.79","1,131.74","1,159.97","1,098.10",0.85%
2022/7/29,"1,129.24","1,133.12","1,144.40","1,107.76",-0.75%
2022/7/28,"1,137.82","1,159.51","1,173.71","1,123.44",-1.40%
2022/7/27,"1,153.95","1,144.05","1,169.83","1,132.88",1.58%
2022/7/26,"1,136.02","1,157.89","1,166.97","1,136.02",-1.68%
2022/7/25,"1,155.45","1,154.63","1,161.16","1,143.58",-0.52%
2022/7/22,"1,161.47","1,143.45","1,165.37","1,127.34",1.69%
2022/7/21,"1,142.18","1,188.63","1,192.89","1,105.11",-3.93%
2022/7/20,"1,188.91","1,179.50","1,207.11","1,179.47",1.18%
2022/7/19,"1,175.04","1,168.00","1,183.53","1,153.31",0.54%
2022/7/18,"1,168.73","1,167.55","1,178.88","1,159.86",0.62%
2022/7/15,"1,161.53","1,117.98","1,161.63","1,108.01",4.27%
2022/7/14,"1,113.97","1,121.14","1,140.77","1,107.31",-0.57%
2022/7/13,"1,120.34","1,142.79","1,144.66","1,113.07",-1.93%
2022/7/12,"1,142.37","1,155.65","1,161.24","1,121.00",-1.03%
2022/7/11,"1,154.28","1,144.64","1,160.45","1,109.61",0.83%
2022/7/8,"1,144.79","1,131.44","1,149.75","1,129.36",1.09%
2022/7/7,"1,132.49","1,104.45","1,137.37","1,082.58",2.80%
2022/7/6,"1,101.64","1,147.28","1,153.80","1,095.89",-3.93%
2022/7/5,"1,146.68","1,262.82","1,267.70","1,131.25",-8.19%
2022/7/4,"1,249.00","1,276.68","1,288.22","1,238.72",-2.16%
2022/7/1,"1,276.55","1,345.75","1,345.75","1,260.26",-5.09%
2022/6/30,"1,345.01","1,408.34","1,453.05","1,309.16",-4.81%
2022/6/29,"1,413.01","1,464.12","1,495.66","1,413.01",-3.59%
2022/6/28,"1,465.57","1,427.53","1,469.57","1,419.18",2.63%
2022/6/27,"1,428.07","1,408.48","1,428.26","1,386.09",0.93%
2022/6/24,"1,414.96","1,417.24","1,422.93","1,401.19",-0.10%
2022/6/23,"1,416.41","1,408.03","1,423.55","1,389.18",0.93%
2022/6/22,"1,403.36","1,375.65","1,403.36","1,363.27",1.69%
2022/6/21,"1,379.97","1,363.39","1,386.30","1,353.23",1.65%
2022/6/20,"1,357.63","1,316.97","1,357.63","1,307.16",3.21%
2022/6/17,"1,315.43","1,323.13","1,325.02","1,303.91",-0.10%
2022/6/16,"1,316.75","1,283.94","1,321.45","1,276.97",2.84%
2022/6/15,"1,280.38","1,274.98","1,289.43","1,268.87",0.58%
2022/6/14,"1,272.97","1,264.54","1,294.22","1,229.36",0.33%
2022/6/10,"1,268.83","1,211.69","1,276.88","1,205.79",4.64%
2022/6/9,"1,212.58","1,231.22","1,255.63","1,205.85",-1.52%
2022/6/8,"1,231.25","1,185.22","1,236.40","1,185.22",4.30%
2022/6/7,"1,180.47","1,177.79","1,190.94","1,155.91",0.17%
2022/6/6,"1,178.51","1,193.08","1,203.24","1,167.25",-1.75%
2022/6/3,"1,199.55","1,196.50","1,201.39","1,163.17",0.29%
2022/6/2,"1,196.03","1,220.69","1,231.05","1,194.37",-2.14%
2022/6/1,"1,222.18","1,203.66","1,228.49","1,191.22",1.16%
2022/5/31,"1,208.12","1,214.92","1,234.08","1,183.71",-0.63%
2022/5/30,"1,215.74","1,142.11","1,228.52","1,142.11",7.21%
2022/5/27,"1,133.94","1,170.44","1,177.78","1,130.63",-3.47%
2022/5/26,"1,174.72","1,246.94","1,253.04","1,138.11",-5.19%
2022/5/25,"1,239.07","1,275.70","1,311.80","1,211.51",-2.72%
2022/5/24,"1,273.73","1,252.14","1,289.81","1,234.02",1.60%
2022/5/23,"1,253.69","1,244.59","1,283.09","1,243.94",1.12%
2022/5/20,"1,239.83","1,242.46","1,324.10","1,228.70",-0.47%
2022/5/19,"1,245.71","1,218.65","1,245.71","1,202.93",2.73%
2022/5/18,"1,212.57","1,207.58","1,237.70","1,205.98",0.98%
2022/5/17,"1,200.81","1,181.63","1,201.40","1,170.09",2.28%
2022/5/16,"1,174.06","1,126.55","1,190.73","1,125.51",3.69%
2022/5/13,"1,132.23","1,149.59","1,163.11","1,111.22",-0.69%
2022/5/12,"1,140.05","1,116.80","1,148.58","1,102.92",1.43%
2022/5/11,"1,123.93","1,085.70","1,126.70","1,070.14",3.30%
2022/5/6,"1,088.02","1,130.87","1,140.31","1,070.55",-2.85%
2022/5/5,"1,119.92","1,130.39","1,147.53","1,119.92",0.52%
2022/5/4,"1,114.13","1,085.11","1,127.14","1,074.13",3.02%
2022/4/29,"1,081.52","1,044.84","1,092.68","1,044.84",3.80%
2022/4/28,"1,041.91","1,053.91","1,096.00","1,041.46",-0.68%
2022/4/27,"1,049.04",996.7,"1,050.39",990.88,4.92%
2022/4/26,999.84,943.87,"1,013.69",943.87,6.24%
2022/4/25,941.08,933.71,952.16,923.04,1.38%
2022/4/22,928.3,956.7,980.47,928.16,-3.45%
2022/4/21,961.46,962.63,987.84,939.75,0.11%
2022/4/20,960.42,933.26,981.48,914.68,3.06%
2022/4/19,931.86,925.33,932.23,885.44,0.62%
2022/4/18,926.08,957.3,963.67,926.08,-3.07%
2022/4/15,955.46,935.81,959.91,917.87,1.53%
2022/4/14,941.05,998.32,999.52,941.05,-5.62%
