enterprise,num_id,date,ret,price,open,close,high,low,mktret,event_date1,event_date2,event_date3,id,t1,t2,date_new,event_window,event_estimate,N,predict_return,AR,CAR,car_date,ar_sd,test,car_t
GAS2GRID,GGX.AX,2021/8/2,0,0.003,7491.4,7415.9,7506.3,7414.9,0.0134,2022/2/24,2022/5/5,2022/5/11,47,-5,5,-144,0,1,127,,,0.03809648,,0.10264533,0.032933947,
SYNERGIA ENERGY,SYN.AX,2021/8/2,0,0.004,7491.4,7415.9,7506.3,7414.9,0.0134,2022/2/24,2022/5/5,2022/5/11,102,-5,5,-144,0,1,127,,,0.004115311,,0.088397108,0.004131072,
STANMORE RESOURCES,SMR.AX,2021/8/2,0,0.74,7491.4,7415.9,7506.3,7414.9,0.0134,2022/2/24,2022/5/5,2022/5/11,98,-5,5,-144,0,1,127,,,0.05307772,,0.019551948,0.24089089,
TERRACOM,TER.AX,2021/8/2,0,0.135,7491.4,7415.9,7506.3,7414.9,0.0134,2022/2/24,2022/5/5,2022/5/11,106,-5,5,-144,0,1,127,,,0.220407113,,0.051794153,0.377609581,
MELBANA ENERGY,MAY.AX,2021/8/2,0,0.021,7491.4,7415.9,7506.3,7414.9,0.0134,2022/2/24,2022/5/5,2022/5/11,71,-5,5,-144,0,1,127,,,0.190248117,,0.133504793,0.126450822,
XSTATE RESOURCES,XST.AX,2021/8/2,0,0.004,7491.4,7415.9,7506.3,7414.9,0.0134,2022/2/24,2022/5/5,2022/5/11,124,-5,5,-144,0,1,127,,,-0.168485656,,0.129999891,-0.115005359,
BOTAI TECHNOLOGY,BTK.AX,2021/8/2,0,0.015,7491.4,7415.9,7506.3,7414.9,0.0134,2022/2/24,2022/5/5,2022/5/11,19,-5,5,-144,0,1,127,,,0,,0,,
LION ENERGY,LIO.AX,2021/8/2,0,0.041,7491.4,7415.9,7506.3,7414.9,0.0134,2022/2/24,2022/5/5,2022/5/11,65,-5,5,-144,0,1,127,,,0.014571629,,0.04568715,0.028301677,
WHITEHAVEN COAL,WHC.AX,2021/8/2,0,2.24,7491.4,7415.9,7506.3,7414.9,0.0134,2022/2/24,2022/5/5,2022/5/11,120,-5,5,-144,0,1,127,,,0.245433122,,0.032601409,0.668028414,
WHITE ENERGY,WEC.AX,2021/8/2,0,0.135,7491.4,7415.9,7506.3,7414.9,0.0134,2022/2/24,2022/5/5,2022/5/11,118,-5,5,-144,0,1,127,,,0.356895894,,0.088187009,0.359116256,
ZEUS RESOURCES,ZEU.AX,2021/8/2,0,0.095,7491.4,7415.9,7506.3,7414.9,0.0134,2022/2/24,2022/5/5,2022/5/11,127,-5,5,-144,0,1,127,,,0.011134798,,0.001377924,0.717059493,
ALLIGATOR ENERGY,AGE.AX,2021/8/2,0,0.031,7491.4,7415.9,7506.3,7414.9,0.0134,2022/2/24,2022/5/5,2022/5/11,5,-5,5,-144,0,1,127,,,0.042364426,,0.072892904,0.051572029,
WOODSIDE ENERGY,WDS.AX,2021/8/2,0,22.14,7491.4,7415.9,7506.3,7414.9,0.0134,2022/2/24,2022/5/5,2022/5/11,122,-5,5,-144,0,1,127,,,0.162193358,,0.02831275,0.508333981,
BOUNTY OIL & GAS NL,BUY.AX,2021/8/2,0,0.018,7491.4,7415.9,7506.3,7414.9,0.0134,2022/2/24,2022/5/5,2022/5/11,20,-5,5,-144,0,1,127,,,0.397804737,,0.054542694,0.647189558,
STONEHORSE ENERGY,NIO.AX,2021/8/2,0,0.03,7491.4,7415.9,7506.3,7414.9,0.0134,2022/2/24,2022/5/5,2022/5/11,100,-5,5,-144,0,1,127,,,-0.06282787,,0.047725469,-0.116815448,
EMPIRE ENERGY GROUP,EEG.AX,2021/8/2,0,0.29,7491.4,7415.9,7506.3,7414.9,0.0134,2022/2/24,2022/5/5,2022/5/11,41,-5,5,-144,0,1,127,,,0.009671574,,0.022620687,0.037939318,
BOSS RESOURCES,BOE.AX,2021/8/2,0,0.165,7491.4,7415.9,7506.3,7414.9,0.0134,2022/2/24,2022/5/5,2022/5/11,18,-5,5,-144,0,1,127,,,0.18379052,,0.064551555,0.252647221,
NUENERGY GAS,NGY.AX,2021/8/2,0,0.038,7491.4,7415.9,7506.3,7414.9,0.0134,2022/2/24,2022/5/5,2022/5/11,79,-5,5,-144,0,1,127,,,0.008463319,,0.088745408,0.008462389,
ELEVATE URANIUM,EL8.AX,2021/8/2,0,0.29,7491.4,7415.9,7506.3,7414.9,0.0134,2022/2/24,2022/5/5,2022/5/11,38,-5,5,-144,0,1,127,,,0.339602321,,0.075901128,0.397027463,
TRIANGLE ENERGY GLOBAL,TEG.AX,2021/8/2,0,0.019,7491.4,7415.9,7506.3,7414.9,0.0134,2022/2/24,2022/5/5,2022/5/11,110,-5,5,-144,0,1,127,,,0.206474587,,0.061875656,0.296104431,
WINCHESTER ENERGY,WEL.AX,2021/8/2,0,0.015,7491.4,7415.9,7506.3,7414.9,0.0134,2022/2/24,2022/5/5,2022/5/11,121,-5,5,-144,0,1,127,,,0.241635084,,0.068537332,0.312846243,
DEEP YELLOW,DYL.AX,2021/8/2,0,0.695,7491.4,7415.9,7506.3,7414.9,0.0134,2022/2/24,2022/5/5,2022/5/11,33,-5,5,-144,0,1,127,,,0.175246358,,0.056417227,0.27563566,
COOPER ENERGY,COE.AX,2021/8/2,0,0.23,7491.4,7415.9,7506.3,7414.9,0.0134,2022/2/24,2022/5/5,2022/5/11,29,-5,5,-144,0,1,127,,,-0.104581393,,0.031388652,-0.295651376,
NEW AGE EXPLORATION,NAE.AX,2021/8/2,0,0.012,7491.4,7415.9,7506.3,7414.9,0.0134,2022/2/24,2022/5/5,2022/5/11,74,-5,5,-144,0,1,127,,,-0.062612697,,0.065753363,-0.084497251,
