enterprise,num_id,date,ret,price,open,close,high,low,mktret,event_date1,event_date2,event_date3,id,t1,t2,date_new,event_window,event_estimate,N,predict_return,AR,CAR,car_date,ar_sd,test
3D OIL,TDO.AX,2021/8/2,0,0.049,7491.4,7415.9,7506.3,7414.9,0.0134,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-150,0,1,127,,,0.124699079,,0.034047913,0.32499066
3D OIL,TDO.AX,2021/8/3,0,0.049,7474.5,7491.4,7495.9,7455.5,-0.0023,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-149,0,1,127,,,0.124699079,,0.034047913,0.32499066
3D OIL,TDO.AX,2021/8/4,-0.065217391,0.046,7503.2,7474.5,7509.2,7474.5,0.0038,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-148,0,1,127,,,0.124699079,,0.034047913,0.32499066
3D OIL,TDO.AX,2021/8/5,0.021276596,0.047,7511.1,7503.2,7526.4,7493,0.0011,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-147,0,1,127,,,0.124699079,,0.034047913,0.32499066
3D OIL,TDO.AX,2021/8/6,0.040816327,0.049,7538.4,7511.1,7538.4,7497.3,0.0036,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-146,0,1,127,,,0.124699079,,0.034047913,0.32499066
3D OIL,TDO.AX,2021/8/9,0.02,0.05,7538.4,7538.4,7567,7532.8,0,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-145,0,1,127,,,0.124699079,,0.034047913,0.32499066
3D OIL,TDO.AX,2021/8/10,0,0.05,7562.6,7538.4,7576.3,7537.1,0.0032,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-144,0,1,127,,,0.124699079,,0.034047913,0.32499066
3D OIL,TDO.AX,2021/8/11,0.074074074,0.054,7584.3,7562.6,7615.1,7562.6,0.0029,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-143,0,1,127,,,0.124699079,,0.034047913,0.32499066
3D OIL,TDO.AX,2021/8/12,0.15625,0.064,7588.2,7584.3,7608.6,7571.5,0.0005,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-142,0,1,127,,,0.124699079,,0.034047913,0.32499066
3D OIL,TDO.AX,2021/8/13,-0.049180328,0.061,7628.9,7588.2,7632.8,7585.9,0.0054,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-141,0,1,127,,,0.124699079,,0.034047913,0.32499066
