id,date,CAR,
1,2/24/2022,0.0264081,0.52424
2,2/24/2022,0.2318676,2.311998
3,2/24/2022,0.0896684,1.545181
4,2/24/2022,-0.0062351,-0.063724
5,2/24/2022,0.0836937,0.77379
6,2/24/2022,-0.0388325,-1.231573
7,2/24/2022,-0.0025883,-0.037012
8,2/24/2022,0.1689854,2.266563
9,2/24/2022,0.2340943,3.335744
10,2/24/2022,0.1264337,0.997466
11,2/24/2022,0.3111362,2.635282
12,2/24/2022,0.2886456,1.725042
13,2/24/2022,0.1623982,4.670616
14,2/24/2022,0.1074718,2.301039
15,2/24/2022,-0.1600489,-1.443559
16,2/24/2022,0.096243,1.332426
17,2/24/2022,-0.1852045,-1.489165
18,2/24/2022,0.2350657,2.540937
19,2/24/2022,0,0
20,2/24/2022,0.3726564,6.010422
21,2/24/2022,-0.3530935,-2.383864
22,2/24/2022,0.0432346,0.666316
23,2/24/2022,0.1797988,5.41508
24,2/24/2022,-0.0022988,-0.541915
25,2/24/2022,0.1217483,1.835197
26,2/24/2022,0.0562614,0.600989
27,2/24/2022,0.082925,1.788558
28,2/24/2022,-0.0253519,-0.547476
29,2/24/2022,-0.0938298,-2.386893
30,2/24/2022,0,0
31,2/24/2022,0,0
32,2/24/2022,0.1688075,3.405576
33,2/24/2022,0.2456543,2.920406
34,2/24/2022,-0.0455265,-0.351003
35,2/24/2022,0,0
36,2/24/2022,-0.5454531,-5.921888
37,2/24/2022,-0.04594,-0.732242
38,2/24/2022,0.3956476,3.656849
39,2/24/2022,-0.0230812,-0.300659
40,2/24/2022,0.144088,1.636647
41,2/24/2022,0.0008995,0.029981
42,2/24/2022,0.0708969,0.687196
43,2/24/2022,0.1516132,2.014159
44,2/24/2022,0.2778857,5.532574
45,2/24/2022,-0.2319009,-2.731344
46,2/24/2022,-0.265366,-8.205509
47,2/24/2022,0.034445,0.308403
48,2/24/2022,-0.0458637,-0.535515
49,2/24/2022,-0.2108212,-1.6887
50,2/24/2022,-0.0405439,-0.759459
51,2/24/2022,0.2145094,2.103054
52,2/24/2022,-0.1955726,-5.285217
53,2/24/2022,0.2108064,3.379007
54,2/24/2022,-0.101505,-1.40841
55,2/24/2022,0.3246903,4.510067
56,2/24/2022,-0.3195456,-2.772688
57,2/24/2022,-0.0625561,-0.93377
58,2/24/2022,-0.0558676,-1.276589
59,2/24/2022,0.0931242,1.223138
60,2/24/2022,-0.1427513,-2.494194
61,2/24/2022,0.1187304,4.170479
62,2/24/2022,0.1955618,1.376096
63,2/24/2022,0.0001436,0.004032
64,2/24/2022,-0.2420934,-0.881574
65,2/24/2022,0.0455355,0.856629
66,2/24/2022,0,0
67,2/24/2022,-0.0611782,-2.051736
68,2/24/2022,-0.0758994,-2.164766
69,2/24/2022,0.3308087,3.535321
70,2/24/2022,0,0
71,2/24/2022,0.2145823,1.505885
72,2/24/2022,-0.1171837,-2.838973
73,2/24/2022,0.0627976,2.142509
74,2/24/2022,-0.0987534,-1.26672
75,2/24/2022,0.1799652,4.413394
76,2/24/2022,0,0
77,2/24/2022,0.0969845,3.405738
78,2/24/2022,-0.0409298,-0.751172
79,2/24/2022,0.0259416,0.28088
80,2/24/2022,-0.2053465,-3.792363
81,2/24/2022,0.1343319,1.601705
82,2/24/2022,0.2127759,2.619643
83,2/24/2022,0.2290078,1.177832
84,2/24/2022,0.2769561,3.127105
85,2/24/2022,0,0
86,2/24/2022,-0.0277159,-0.577613
87,2/24/2022,-0.1094513,-0.95977
88,2/24/2022,-0.0205369,-0.50657
89,2/24/2022,-0.063952,-1.058393
90,2/24/2022,0.0251652,0.274836
91,2/24/2022,-0.0590845,-0.567599
92,2/24/2022,0,0
93,2/24/2022,0.0351184,2.055704
94,2/24/2022,0.2791351,3.442782
95,2/24/2022,-0.4040942,-3.785105
96,2/24/2022,0.1020809,3.310179
97,2/24/2022,-0.0020231,-0.190117
98,2/24/2022,0.1002312,2.849067
99,2/24/2022,0.0145568,0.292587
100,2/24/2022,-0.0313306,-0.578336
101,2/24/2022,0.09467,1.605203
102,2/24/2022,0.0160479,0.169845
103,2/24/2022,0.0105011,0.090846
104,2/24/2022,-0.0575515,-1.796585
105,2/24/2022,3.930573,3.678527
106,2/24/2022,0.2461812,3.594409
107,2/24/2022,0.0301206,0.487742
108,2/24/2022,-0.1139212,-0.732429
109,2/24/2022,0.1945857,2.262051
110,2/24/2022,0.2173,3.500876
111,2/24/2022,0,0
112,2/24/2022,0.293214,3.759169
113,2/24/2022,0.2928717,2.980856
114,2/24/2022,0.04293,1.511765
115,2/24/2022,0.0285418,1.29554
116,2/24/2022,0,0
117,2/24/2022,0.0510413,3.07525
118,2/24/2022,0.588684,2.619742
119,2/24/2022,0,0
120,2/24/2022,0.272052,5.788063
121,2/24/2022,0.284761,3.202311
122,2/24/2022,0.1695763,4.336344
123,2/24/2022,0.1049454,3.375997
124,2/24/2022,-0.1358735,-0.900745
125,2/24/2022,0.3411472,5.146385
126,2/24/2022,0.0151071,1.370337
127,2/24/2022,0.0189548,5.299473
,,0,
